Kachelname,filename,url,Koordinatenursprung_East,Koordinatenursprung_North
dop10rgbi_32_354_5635_1_nw_2025,dop10rgbi_32_354_5635_1_nw_2025.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_354_5635_1_nw_2025/dop10rgbi_32_354_5635_1_nw_2025.jp2,354000,5635000
dop10rgbi_32_359_5634_1_nw_2025,dop10rgbi_32_359_5634_1_nw_2025.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_359_5634_1_nw_2025/dop10rgbi_32_359_5634_1_nw_2025.jp2,359000,5634000
dop10rgbi_32_360_5634_1_nw_2025,dop10rgbi_32_360_5634_1_nw_2025.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_360_5634_1_nw_2025/dop10rgbi_32_360_5634_1_nw_2025.jp2,360000,5634000
dop10rgbi_32_365_5633_1_nw_2025,dop10rgbi_32_365_5633_1_nw_2025.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_365_5633_1_nw_2025/dop10rgbi_32_365_5633_1_nw_2025.jp2,365000,5633000
dop10rgbi_32_347_5654_1_nw_2025,dop10rgbi_32_347_5654_1_nw_2025.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_347_5654_1_nw_2025/dop10rgbi_32_347_5654_1_nw_2025.jp2,347000,5654000
dop10rgbi_32_353_5653_1_nw_2025,dop10rgbi_32_353_5653_1_nw_2025.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_353_5653_1_nw_2025/dop10rgbi_32_353_5653_1_nw_2025.jp2,353000,5653000
dop10rgbi_32_358_5652_1_nw_2025,dop10rgbi_32_358_5652_1_nw_2025.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_358_5652_1_nw_2025/dop10rgbi_32_358_5652_1_nw_2025.jp2,358000,5652000
dop10rgbi_32_364_5651_1_nw_2025,dop10rgbi_32_364_5651_1_nw_2025.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_364_5651_1_nw_2025/dop10rgbi_32_364_5651_1_nw_2025.jp2,364000,5651000
dop10rgbi_32_369_5649_1_nw_2025,dop10rgbi_32_369_5649_1_nw_2025.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_369_5649_1_nw_2025/dop10rgbi_32_369_5649_1_nw_2025.jp2,369000,5649000
dop10rgbi_32_369_5650_1_nw_2025,dop10rgbi_32_369_5650_1_nw_2025.jp2,https://www.opengeodata.nrw.de/produkte/geobasis/lusat/akt/dop/dop_jp2_f10/dop_369_5650_1_nw_2025/dop10rgbi_32_369_5650_1_nw_2025.jp2,369000,5650000
